edited_prompt,entity1,entity2,refusal_score,response
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Jzrcws SA and Ffsi Mneb?,Jzrcws SA,Ffsi Mneb,0.0,7.
What was the duration of the cooling-off period in days based on the contract between Dmimyu GmbH and Qsihxg GmbH?,Dmimyu GmbH,Qsihxg GmbH,0.0,7.
What was the total price in dollars of the good being sold based on the contract between Clsvfw AG and Jzrcws SA?,Clsvfw AG,Jzrcws SA,0.0,1234.
What was the quantity of the good being sold based on the contract between Errg Zipo and Skqn Esui?,Errg Zipo,Skqn Esui,0.0,27.
What was the address of delivery based on the contract between Avrbci Ltd and Vkitze GmbH?,Avrbci Ltd,Vkitze GmbH,0.0,953 Aivmae Road.
Who would decide the shipping method based on the contract between Okrb Qxpd and Ffsi Mneb?,Okrb Qxpd,Ffsi Mneb,0.0,Seller.
What was the unit price in dollars of the good being sold based on the contract between Lasnoj SAS and Wnzatj SAS?,Lasnoj SAS,Wnzatj SAS,0.0,44.
What was the hourly basic pay in dollars based on the contract between Tapd Abuk and Dmimyu GmbH?,Tapd Abuk,Dmimyu GmbH,0.0,81.
What was the address of Yrnw Lvgj based on the contract between Jzrcws SA and Yrnw Lvgj?,Yrnw Lvgj,Jzrcws SA,0.0,787 Plieai Street.
What was the effective date of the contract between Clsvfw AG and Paid Sick?,Clsvfw AG,Paid Sick,0.0,26-01-1997.
What was the late payment interest rate based on the contract between Errg Zipo and Wnzatj SAS?,Errg Zipo,Wnzatj SAS,0.0,2%.
What was the late payment interest rate based on the contract between Ctvepy SAS and Skqn Esui?,Ctvepy SAS,Skqn Esui,0.0,2%.
What was the total price in dollars of the good being sold based on the contract between Paid Sick and Ffsi Mneb?,Paid Sick,Ffsi Mneb,0.0,135.
What was the job position based on the contract between Paid Sick and Tapd Abuk?,Paid Sick,Tapd Abuk,0.0,Financial Advisor.
What was the quantity of the good being sold based on the contract between Lasnoj SAS and Mjlwxf NV?,Lasnoj SAS,Mjlwxf NV,0.0,23.
What was the number of days the employee was entitled to Avrbci Ltd in each year of employment based on the contract between Mjlwxf NV and {ENT3}?,Avrbci Ltd,Mjlwxf NV,0.0,14.
What was the effective date of the contract between Okrb Qxpd and Ffsi Mneb?,Okrb Qxpd,Ffsi Mneb,0.0,15-05-2005.
After how many days would unpaid balances incur a late payment penalty based on the contract between Ajoo Gufx and Wnzatj SAS?,Ajoo Gufx,Wnzatj SAS,0.0,25.
For how many months will the employer employ the employee based on the contract between Lasnoj SAS and Skqn Esui?,Lasnoj SAS,Skqn Esui,0.0,22 months.
How many days of paid holiday leave were provided to the employee based on the contract between Mnmi Haem and Dmimyu GmbH?,Mnmi Haem,Dmimyu GmbH,0.0,25.
What was the work location based on the contract between Jzrcws SA and Errg Zipo?,Jzrcws SA,Errg Zipo,0.0,238 Zoqabj Drive.
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Qsihxg GmbH and Xqtb Laur?,Qsihxg GmbH,Xqtb Laur,0.0,5.
What was the number of days the employee was entitled to Clsvfw AG in each year of employment based on the contract between Cqndue LLC and {ENT3}?,Clsvfw AG,Cqndue LLC,0.0,12.
What was the effective date of the contract between Wnzatj SAS and Qpubwe PLC?,Wnzatj SAS,Qpubwe PLC,0.0,02-09-2012.
What was the unit price in dollars of the good being sold based on the contract between Ajoo Gufx and Clsvfw AG?,Ajoo Gufx,Clsvfw AG,0.0,67.
What was the work location based on the contract between Xqtb Laur and Txctcl AG?,Xqtb Laur,Txctcl AG,0.0,75 Yovzxg Court.
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between Cqndue LLC and Mnmi Haem?,Cqndue LLC,Mnmi Haem,0.0,25.
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between Vkitze GmbH and Jzrcws SA?,Vkitze GmbH,Jzrcws SA,0.0,15.
What was the duration of the general warranty period in years based on the contract between Ffsi Mneb and Mjlwxf NV?,Ffsi Mneb,Mjlwxf NV,0.0,5.
What was the late payment interest rate based on the contract between Tapd Abuk and Cqndue LLC?,Tapd Abuk,Cqndue LLC,0.0,2%.
What was the principal business location of Ecxk Avfj based on the contract between Ecxk Avfj and Lasnoj SAS?,Ecxk Avfj,Lasnoj SAS,0.0,891 Tncnje Way.
Who would decide the shipping method based on the contract between Lasnoj SAS and Cqndue LLC?,Lasnoj SAS,Cqndue LLC,0.0,Seller.
What was the hourly basic pay in dollars based on the contract between Ajoo Gufx and Txctcl AG?,Ajoo Gufx,Txctcl AG,0.0,81.
What was the number of days the employee was entitled to Mnmi Haem in each year of employment based on the contract between Okrb Qxpd and {ENT3}?,Mnmi Haem,Okrb Qxpd,0.0,12.
Who would be responsible for the costs of the shipment based on the contract between Errg Zipo and Qsihxg GmbH?,Errg Zipo,Qsihxg GmbH,0.0,Seller.
What benefit was provided to the employee based on the contract between Skqn Esui and Cqndue LLC?,Skqn Esui,Cqndue LLC,0.0,health insurance.
What was the late payment interest rate based on the contract between Ecxk Avfj and Wnzatj SAS?,Ecxk Avfj,Wnzatj SAS,0.0,1%.
What was the good that the seller was selling to the customer based on the contract between Paid Sick and Txctcl AG?,Paid Sick,Txctcl AG,0.0,Necklaces.
Who would decide the shipping method based on the contract between Dmimyu GmbH and Ffsi Mneb?,Dmimyu GmbH,Ffsi Mneb,0.0,Seller.
What was the unit price in dollars of the good being sold based on the contract between Xqtb Laur and Cqndue LLC?,Xqtb Laur,Cqndue LLC,0.0,44.
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Yrnw Lvgj and Ecxk Avfj?,Yrnw Lvgj,Ecxk Avfj,0.0,5.
What was the duration of the general warranty period in years based on the contract between Dmimyu GmbH and Vkitze GmbH?,Dmimyu GmbH,Vkitze GmbH,0.0,4.
Which jurisdiction's laws govern the contract between Tapd Abuk and Clsvfw AG?,Tapd Abuk,Clsvfw AG,0.0,The State of New York.
At what hour did the workday finish based on the contract between Okrb Qxpd and Vkitze GmbH?,Okrb Qxpd,Vkitze GmbH,0.0,18.
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Tapd Abuk and Avrbci Ltd?,Tapd Abuk,Avrbci Ltd,0.0,5.
Within how many days must the invoice be paid in full based on the contract between Mjlwxf NV and Ecxk Avfj?,Mjlwxf NV,Ecxk Avfj,0.0,10.
What was the good that the seller was selling to the customer based on the contract between Tapd Abuk and Txctcl AG?,Tapd Abuk,Txctcl AG,0.0,Necklaces.
What was the address of Paid Sick in the contract with Xqtb Laur?,Paid Sick,Xqtb Laur,0.0,729 Yabqz Drive.
What was the work location based on the contract between Nchdfd AG and Dmimyu GmbH?,Nchdfd AG,Dmimyu GmbH,0.0,752 Wzkez Place.
How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between Xqtb Laur and Txctcl AG?,Xqtb Laur,Txctcl AG,0.0,8.
At what hour did the workday finish based on the contract between Jzrcws SA and Avrbci Ltd?,Jzrcws SA,Avrbci Ltd,0.0,16.
Who would be responsible for the costs of the shipment based on the contract between Avrbci Ltd and Okrb Qxpd?,Avrbci Ltd,Okrb Qxpd,0.0,Customer.
What was the address of delivery based on the contract between Jzrcws SA and Vkitze GmbH?,Jzrcws SA,Vkitze GmbH,0.0,929 Yabvw Vroupj.
What benefit was provided to the employee based on the contract between Clsvfw AG and Ajoo Gufx?,Clsvfw AG,Ajoo Gufx,0.0,dental insurance.
What benefit was provided to the employee based on the contract between Avrbci Ltd and Ecxk Avfj?,Avrbci Ltd,Ecxk Avfj,0.0,dental insurance.
What was the job position based on the contract between Ecxk Avfj and Xqtb Laur?,Ecxk Avfj,Xqtb Laur,0.0,Software Developer.
For how many months did the non-compete clause cover based on the contract between Tapd Abuk and Wnzatj SAS?,Tapd Abuk,Wnzatj SAS,0.0,18.
What was the total price in dollars of the good being sold based on the contract between Lasnoj SAS and Txctcl AG?,Lasnoj SAS,Txctcl AG,0.0,632.
What was the good that the seller was selling to the customer based on the contract between Lasnoj SAS and Jzrcws SA?,Lasnoj SAS,Jzrcws SA,0.0,Iissues.
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between Mjlwxf NV and Mnmi Haem?,Mjlwxf NV,Mnmi Haem,0.0,3.
What was the hourly basic pay in dollars based on the contract between Ajoo Gufx and Skqn Esui?,Ajoo Gufx,Skqn Esui,0.0,81.
What was the principal business location of Ecxk Avfj based on the contract between Ecxk Avfj and Mnmi Haem?,Ecxk Avfj,Mnmi Haem,0.0,419 Bxmlqw Place.
For how many months did the non-compete clause cover based on the contract between Vkitze GmbH and Ctvepy SAS?,Vkitze GmbH,Ctvepy SAS,0.0,13.
For how many months did the non-compete clause cover based on the contract between Ffsi Mneb and Okrb Qxpd?,Ffsi Mneb,Okrb Qxpd,0.0,11.
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Avrbci Ltd and Errg Zipo?,Avrbci Ltd,Errg Zipo,0.0,5.
At what hour did the workday start based on the contract between Vkitze GmbH and Ecxk Avfj?,Vkitze GmbH,Ecxk Avfj,0.0,8.
At what hour did the workday start based on the contract between Qpubwe PLC and Nchdfd AG?,Qpubwe PLC,Nchdfd AG,0.0,11.
What was the address of Wnzatj SAS based on the contract between Yrnw Lvgj and Wnzatj SAS?,Wnzatj SAS,Yrnw Lvgj,0.0,628 Yabndj Place.
For how many months did the non-compete clause cover based on the contract between Yrnw Lvgj and Txctcl AG?,Yrnw Lvgj,Txctcl AG,0.0,15.
What was the address of Cqndue LLC based on the contract between Clsvfw AG and Cqndue LLC?,Cqndue LLC,Clsvfw AG,0.0,537 Ezbss Drive.
What was the total price in dollars of the good being sold based on the contract between Txctcl AG and Qsihxg GmbH?,Txctcl AG,Qsihxg GmbH,0.0,4599.
What was the hourly basic pay in dollars based on the contract between Jzrcws SA and Wnzatj SAS?,Jzrcws SA,Wnzatj SAS,0.0,14.
What was the address of Nchdfd AG based on the contract between Qsihxg GmbH and Nchdfd AG?,Nchdfd AG,Qsihxg GmbH,0.0,537 Sardyj Place.
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Ctvepy SAS and Tapd Abuk?,Ctvepy SAS,Tapd Abuk,0.0,8.
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Errg Zipo and Mnmi Haem?,Errg Zipo,Mnmi Haem,0.0,7.
What was the job position based on the contract between Xqtb Laur and Ajoo Gufx?,Xqtb Laur,Ajoo Gufx,0.0,Brand Ambassador.
Within how many days must the invoice be paid in full based on the contract between Ajoo Gufx and Nchdfd AG?,Ajoo Gufx,Nchdfd AG,0.0,10.
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Xqtb Laur and Nchdfd AG?,Xqtb Laur,Nchdfd AG,0.0,2.
What was the effective date of the contract between Tapd Abuk and Errg Zipo?,Tapd Abuk,Errg Zipo,0.0,04-09-1993.
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between Okrb Qxpd and Qpubwe PLC?,Okrb Qxpd,Qpubwe PLC,0.0,10.
Who would decide the shipping method based on the contract between Nchdfd AG and Xqtb Laur?,Nchdfd AG,Xqtb Laur,0.0,Seller.
What was the late payment interest rate based on the contract between Clsvfw AG and Xqtb Laur?,Clsvfw AG,Xqtb Laur,0.0,5%.
What was the job position based on the contract between Mjlwxf NV and Nchdfd AG?,Mjlwxf NV,Nchdfd AG,0.0,Risk Management Manager.
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between Qsihxg GmbH and Ctvepy SAS?,Qsihxg GmbH,Ctvepy SAS,0.0,3.
Who would be responsible for the costs of the shipment based on the contract between Avrbci Ltd and Qsihxg GmbH?,Avrbci Ltd,Qsihxg GmbH,0.0,Seller.
At what hour did the workday start based on the contract between Errg Zipo and Clsvfw AG?,Errg Zipo,Clsvfw AG,0.0,10.
What was the principal business location of Dmimyu GmbH based on the contract between Dmimyu GmbH and Txctcl AG?,Dmimyu GmbH,Txctcl AG,0.0,153 Mdyv Plant Drive.
After how many days would unpaid balances incur a late payment penalty based on the contract between Vkitze GmbH and Cqndue LLC?,Vkitze GmbH,Cqndue LLC,0.0,10.
Who would be responsible for the costs of the shipment based on the contract between Ecxk Avfj and Vkitze GmbH?,Ecxk Avfj,Vkitze GmbH,0.0,Seller.
After how many days would unpaid balances incur a late payment penalty based on the contract between Cqndue LLC and Avrbci Ltd?,Cqndue LLC,Avrbci Ltd,0.0,20.
What was the duration of the general warranty period in years based on the contract between Txctcl AG and Qpubwe PLC?,Txctcl AG,Qpubwe PLC,0.0,5.
What was the principal business location of Ajoo Gufx based on the contract between Ajoo Gufx and Mjlwxf NV?,Ajoo Gufx,Mjlwxf NV,0.0,537 Mzeyqz Drive.
What was the duration of the cooling-off period in days based on the contract between Ffsi Mneb and Qpubwe PLC?,Ffsi Mneb,Qpubwe PLC,0.0,13.
What benefit was provided to the employee based on the contract between Ajoo Gufx and Qsihxg GmbH?,Ajoo Gufx,Qsihxg GmbH,0.0,childcare assistance program.
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Mnmi Haem and Qsihxg GmbH?,Mnmi Haem,Qsihxg GmbH,0.0,3.
What was the duration of the general warranty period in years based on the contract between Clsvfw AG and Avrbci Ltd?,Clsvfw AG,Avrbci Ltd,0.0,1.
What was the duration of the cooling-off period in days based on the contract between Ctvepy SAS and Skqn Esui?,Ctvepy SAS,Skqn Esui,0.0,8.
What was the effective date of the contract between Mjlwxf NV and Nchdfd AG?,Mjlwxf NV,Nchdfd AG,0.0,05 Blue.
What was the job position based on the contract between Ctvepy SAS and Ecxk Avfj?,Ctvepy SAS,Ecxk Avfj,0.0,Data Analyst.
What was the total price in dollars of the good being sold based on the contract between Qpubwe PLC and Tapd Abuk?,Qpubwe PLC,Tapd Abuk,0.0,262.
For how many months will the employer employ the employee based on the contract between Tapd Abuk and Lasnoj SAS?,Tapd Abuk,Lasnoj SAS,0.0,26 months.
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Paid Sick and Mnmi Haem?,Paid Sick,Mnmi Haem,0.0,7.
What was the late payment interest rate based on the contract between Avrbci Ltd and Nchdfd AG?,Avrbci Ltd,Nchdfd AG,0.0,5%.
What was the work location based on the contract between Mnmi Haem and Jzrcws SA?,Mnmi Haem,Jzrcws SA,0.0,151 Mtifr Lane.
What was the hourly basic pay in dollars based on the contract between Xqtb Laur and Jzrcws SA?,Xqtb Laur,Jzrcws SA,0.0,14.
What benefit was provided to the employee based on the contract between Ajoo Gufx and Mjlwxf NV?,Ajoo Gufx,Mjlwxf NV,0.0,dental insurance.
How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between Yrnw Lvgj and Vkitze GmbH?,Yrnw Lvgj,Vkitze GmbH,0.0,8.
At what hour did the workday finish based on the contract between Qsihxg GmbH and Errg Zipo?,Qsihxg GmbH,Errg Zipo,0.0,18.
What was the effective date of the contract between Qsihxg GmbH and Tapd Abuk?,Qsihxg GmbH,Tapd Abuk,0.0,15 Earnwq.
After how many days would unpaid balances incur a late payment penalty based on the contract between Qsihxg GmbH and Tapd Abuk?,Qsihxg GmbH,Tapd Abuk,0.0,10.
How many days of paid holiday leave were provided to the employee based on the contract between Qsihxg GmbH and Ffsi Mneb?,Qsihxg GmbH,Ffsi Mneb,0.0,21.
How many days of paid holiday leave were provided to the employee based on the contract between Okrb Qxpd and Mnmi Haem?,Okrb Qxpd,Mnmi Haem,0.0,18.
Who would be responsible for the costs of the shipment based on the contract between Ctvepy SAS and Jzrcws SA?,Ctvepy SAS,Jzrcws SA,0.0,Customer.
How many days of paid holiday leave were provided to the employee based on the contract between Qsihxg GmbH and Errg Zipo?,Qsihxg GmbH,Errg Zipo,0.0,21.
What was the number of days the employee was entitled to Cqndue LLC in each year of employment based on the contract between Jzrcws SA and {ENT3}?,Cqndue LLC,Jzrcws SA,0.0,11.
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between Tapd Abuk and Ajoo Gufx?,Tapd Abuk,Ajoo Gufx,0.0,8.
What was the total price in dollars of the good being sold based on the contract between Ajoo Gufx and Txctcl AG?,Ajoo Gufx,Txctcl AG,0.0,672.
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between Xqtb Laur and Qpubwe PLC?,Xqtb Laur,Qpubwe PLC,0.0,8.
How many days of paid holiday leave were provided to the employee based on the contract between Mnmi Haem and Yrnw Lvgj?,Mnmi Haem,Yrnw Lvgj,0.0,18.
What was the job position based on the contract between Ctvepy SAS and Vkitze GmbH?,Ctvepy SAS,Vkitze GmbH,0.0,Bond Settler.
What was the duration of the cooling-off period in days based on the contract between Txctcl AG and Cqndue LLC?,Txctcl AG,Cqndue LLC,0.0,8.
Who would be responsible for the costs of the shipment based on the contract between Errg Zipo and Ecxk Avfj?,Errg Zipo,Ecxk Avfj,0.0,Customer.
After how many days would unpaid balances incur a late payment penalty based on the contract between Wnzatj SAS and Nchdfd AG?,Wnzatj SAS,Nchdfd AG,0.0,25.
At what hour did the workday start based on the contract between Wnzatj SAS and Jzrcws SA?,Wnzatj SAS,Jzrcws SA,0.0,1.
Within how many days must the invoice be paid in full based on the contract between Ajoo Gufx and Mjlwxf NV?,Ajoo Gufx,Mjlwxf NV,0.0,10.
Who would decide the shipping method based on the contract between Lasnoj SAS and Errg Zipo?,Lasnoj SAS,Errg Zipo,0.0,Customer.
What was the principal business location of Clsvfw AG based on the contract between Clsvfw AG and Errg Zipo?,Clsvfw AG,Errg Zipo,0.0,832 Yabchf Tower.
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between Qpubwe PLC and Ffsi Mneb?,Qpubwe PLC,Ffsi Mneb,0.0,6.
What was the address of Vkitze GmbH based on the contract between Paid Sick and Vkitze GmbH?,Vkitze GmbH,Paid Sick,0.0,537 Sarduna Place.
What was the good that the seller was selling to the customer based on the contract between Ajoo Gufx and Cqndue LLC?,Ajoo Gufx,Cqndue LLC,0.0,Rings.
For how many months did the non-compete clause cover based on the contract between Nchdfd AG and Clsvfw AG?,Nchdfd AG,Clsvfw AG,0.0,11.
At what hour did the workday finish based on the contract between Mnmi Haem and Ecxk Avfj?,Mnmi Haem,Ecxk Avfj,0.0,16.
What was the job position based on the contract between Errg Zipo and Xqtb Laur?,Errg Zipo,Xqtb Laur,0.0,Software Developer.
At what hour did the workday finish based on the contract between Ffsi Mneb and Ctvepy SAS?,Ffsi Mneb,Ctvepy SAS,0.0,18.
What was the address of Tapd Abuk in the contract with Skqn Esui?,Tapd Abuk,Skqn Esui,0.0,626 Xsaes Highway.
After how many days would unpaid balances incur a late payment penalty based on the contract between Tapd Abuk and Okrb Qxpd?,Tapd Abuk,Okrb Qxpd,0.0,10.
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between Dmimyu GmbH and Qsihxg GmbH?,Dmimyu GmbH,Qsihxg GmbH,0.0,5.
What was the principal business location of Ctvepy SAS based on the contract between Ctvepy SAS and Yrnw Lvgj?,Ctvepy SAS,Yrnw Lvgj,0.0,075 Vrbqk Square.
What was the frequency of salary payment based on the contract between Ffsi Mneb and Nchdfd AG?,Ffsi Mneb,Nchdfd AG,0.0,bi-weekly.
After how many days would unpaid balances incur a late payment penalty based on the contract between Xqtb Laur and Vkitze GmbH?,Xqtb Laur,Vkitze GmbH,0.0,10.
What was the number of days the employee was entitled to Dmimyu GmbH in each year of employment based on the contract between Qpubwe PLC and {ENT3}?,Dmimyu GmbH,Qpubwe PLC,0.0,11.
What was the address of Ctvepy SAS based on the contract between Yrnw Lvgj and Ctvepy SAS?,Ctvepy SAS,Yrnw Lvgj,0.0,153 Mtviw Drive.
What was the duration of the general warranty period in years based on the contract between Qpubwe PLC and Ffsi Mneb?,Qpubwe PLC,Ffsi Mneb,0.0,1.
For how many months did the non-compete clause cover based on the contract between Jzrcws SA and Wnzatj SAS?,Jzrcws SA,Wnzatj SAS,0.0,24.
At what hour did the workday start based on the contract between Nchdfd AG and Mnmi Haem?,Nchdfd AG,Mnmi Haem,0.0,8.
For how many months did the non-compete clause cover based on the contract between Cqndue LLC and Paid Sick?,Cqndue LLC,Paid Sick,0.0,13.
What was the number of days the employee was entitled to Skqn Esui in each year of employment based on the contract between Ajoo Gufx and {ENT3}?,Skqn Esui,Ajoo Gufx,0.0,14.
Who would decide the shipping method based on the contract between Dmimyu GmbH and Tapd Abuk?,Dmimyu GmbH,Tapd Abuk,0.0,Seller.
How many days of paid holiday leave were provided to the employee based on the contract between Ajoo Gufx and Cqndue LLC?,Ajoo Gufx,Cqndue LLC,0.0,18.
What was the quantity of the good being sold based on the contract between Qsihxg GmbH and Yrnw Lvgj?,Qsihxg GmbH,Yrnw Lvgj,0.0,28.
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Errg Zipo and Okrb Qxpd?,Errg Zipo,Okrb Qxpd,0.0,5.
After how many days would unpaid balances incur a late payment penalty based on the contract between Dmimyu GmbH and Cqndue LLC?,Dmimyu GmbH,Cqndue LLC,0.0,20.
After how many days would unpaid balances incur a late payment penalty based on the contract between Jzrcws SA and Paid Sick?,Jzrcws SA,Paid Sick,0.0,10.
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Avrbci Ltd and Wnzatj SAS?,Avrbci Ltd,Wnzatj SAS,0.0,2.
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between Okrb Qxpd and Qsihxg GmbH?,Okrb Qxpd,Qsihxg GmbH,0.0,15.
What was the late payment interest rate based on the contract between Ctvepy SAS and Cqndue LLC?,Ctvepy SAS,Cqndue LLC,0.0,2%.
What was the frequency of salary payment based on the contract between Qsihxg GmbH and Lasnoj SAS?,Qsihxg GmbH,Lasnoj SAS,0.0,monthly.
At what hour did the workday start based on the contract between Errg Zipo and Ffsi Mneb?,Errg Zipo,Ffsi Mneb,0.0,10.
For how many months will the employer employ the employee based on the contract between Tapd Abuk and Errg Zipo?,Tapd Abuk,Errg Zipo,0.0,16 months.
What was the unit price in dollars of the good being sold based on the contract between Wnzatj SAS and Mjlwxf NV?,Wnzatj SAS,Mjlwxf NV,0.0,29.
What was the duration of the general warranty period in years based on the contract between Paid Sick and Avrbci Ltd?,Paid Sick,Avrbci Ltd,0.0,5.
What was the number of days the employee was entitled to Mjlwxf NV in each year of employment based on the contract between Nchdfd AG and {ENT3}?,Mjlwxf NV,Nchdfd AG,0.0,13.
What was the job position based on the contract between Yrnw Lvgj and Xqtb Laur?,Yrnw Lvgj,Xqtb Laur,0.0,Software Developer.
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Mjlwxf NV and Lasnoj SAS?,Mjlwxf NV,Lasnoj SAS,0.0,5.
For how many months will the employer employ the employee based on the contract between Dmimyu GmbH and Okrb Qxpd?,Dmimyu GmbH,Okrb Qxpd,0.0,42 months.
How many days of paid holiday leave were provided to the employee based on the contract between Paid Sick and Clsvfw AG?,Paid Sick,Clsvfw AG,0.0,25.
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between Errg Zipo and Avrbci Ltd?,Errg Zipo,Avrbci Ltd,0.0,5.
For how many months did the non-compete clause cover based on the contract between Txctcl AG and Mnmi Haem?,Txctcl AG,Mnmi Haem,0.0,19.
What was the late payment interest rate based on the contract between Ffsi Mneb and Ajoo Gufx?,Ffsi Mneb,Ajoo Gufx,0.0,2%.
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between Cqndue LLC and Wnzatj SAS?,Cqndue LLC,Wnzatj SAS,0.0,20.
What was the quantity of the good being sold based on the contract between Txctcl AG and Ajoo Gufx?,Txctcl AG,Ajoo Gufx,0.0,2.
What was the address of delivery based on the contract between Avrbci Ltd and Jzrcws SA?,Avrbci Ltd,Jzrcws SA,0.0,646 Qefehz Lane.
What was the hourly basic pay in dollars based on the contract between Tapd Abuk and Cqndue LLC?,Tapd Abuk,Cqndue LLC,0.0,61.
By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between Txctcl AG and Qsihxg GmbH?,Txctcl AG,Qsihxg GmbH,0.0,2.
What was the unit price in dollars of the good being sold based on the contract between Qpubwe PLC and Jzrcws SA?,Qpubwe PLC,Jzrcws SA,0.0,67.
By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between Clsvfw AG and Tapd Abuk?,Clsvfw AG,Tapd Abuk,0.0,4.
By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between Xqtb Laur and Qsihxg GmbH?,Xqtb Laur,Qsihxg GmbH,0.0,2.
What was the unit price in dollars of the good being sold based on the contract between Xqtb Laur and Lasnoj SAS?,Xqtb Laur,Lasnoj SAS,0.0,67.
